model,accuracy,precision_macro,recall_macro,f1_macro,silhouette,ari,inertia,mae,mse,r2
DecisionTree,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,,,,,,
KNN,1.0,1.0,1.0,1.0,,,,,,
RandomForest,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,,,,,,
SVC,1.0,1.0,1.0,1.0,,,,,,
XGBoost,0.9,0.9023569023569024,0.9,0.899749373433584,,,,,,
KMeans,,,,,0.48145715072728446,0.6710808869450733,270.6940434255936,,,
LinearRegression(petal_length~sepal_length),,,,,,,,0.7023653652665207,0.7369098594670186,0.7613285533545985
MultipleLinearRegression(petal_length~others),,,,,,,,0.0352961214842904,0.002105342761632143,0.9993181184969263
